City,Country region,Name,Service opened,Last expanded,Stations,Systemlength(km),Annual Ridership (millions),Rail Type
Lille, France,Lille Metro,1983,2000,60,45,89.3,Rail Way
Foshan, China,Foshan Metro,2010,2022,61,112.7 ,0,Rail Way
Guangzhou, China,Guangzhou Metro,1997,2022,261,621.05 ,2415.6,Rail Way
Guiyang, China,Guiyang Metro,2017,2021,55,75.7 ,36.98,Rail Way
Gwangju, South Korea,Gwangju Metro,2004,2008,20,20.1 ,19,Rail Way
Hangzhou, China,Hangzhou Metro,2012,2022,251,516.2 ,582.41,Rail Way
Hefei, China,Hefei Metro,2016,2022,133,170.95 ,195.07,Rail Way
Hohhot, China,Hohhot Metro,2019,2020,43,49.039 ,21.3,Rail Way
Isfahan, Iran,Isfahan Urban Railway,2015,2018,20,20.2 ,0,Rail Way
Jinhua, China,Jinhua Rail Transit,2022,2022,30,106.5 ,0,Rail Way
Kaohsiung, Taiwan ,Kaohsiung Rapid Transit,2008,2012,37,42.7 ,65.4,Rail Way
Lagos, Nigeria,Lagos Rail Mass Transit,2023,2023,5,13,0,Rail Way
Macau, China,Macau Light Rapid Transit,2019,2019,11,9.3 ,0,Rail Way
Manila, Philippines,Manila Light Rail Transit System,1984,2021,33,37.2 ,218.2,Rail Way
Mashhad, Iran,Mashhad Urban Railway,2011,2019,36,37.5 ,50.7,Rail Way
Ningbo, China,Ningbo Rail Transit,2014,2022,116,185.36 ,159.86,Rail Way
Singapore, Singapore ,Mass Rapid Transit,1987,2022,134,230.2 ,766.5,Rail Way
Suzhou, China,Suzhou Rail Transit,2012,2021,154,208.2 ,308.57,Rail Way
Taizhou, China,Taizhou Rail Transit,2022,2022,15,52.4 ,0,Rail Way
Wenzhou, China,Wenzhou Rail Transit,2019,2019,18,53.507 ,7.01,Rail Way
Bangkok, Thailand,BTS Skytrain,1999,2021,60,70 ,236.9,Skytrain
Atlanta, United States,MARTA,1979,2000,38,76.6 ,22.9,Subway
Baltimore, United States,Baltimore Metro SubwayLink,1983,1995,14,24.9 ,1.7,Subway
Beijing, China,Beijing Subway,1971,2023,369,785.7 ,2292.65,Subway
Belo Horizonte, Brazil,Belo Horizonte Metro,1986,2002,19,28.1 ,54.4,Subway
Boston, United States,MBTA subway,1901,2014,51,61 ,62.9,Subway
Cleveland, United States,RTA Rapid Transit: Red Line,1955,1968,18,31 ,2.4,Subway
Fukuoka, Japan ,Fukuoka City Subway,1981,2005,35,29.8 ,173.3,Subway
Glasgow, United Kingdom,Glasgow Subway,1896,1896,15,10.4 ,12.7,Subway
Incheon, South Korea,Incheon Subway,1999,2020,56,59.4 ,116,Subway
Kobe, Japan,Kobe Municipal Subway,1977,2001,28,38.1 ,114.2,Subway
Kyoto, Japan,Kyoto Municipal Subway,1981,2008,31,31.2 ,146.4,Subway
Los Angeles, United States,Metro Rail,1993,2000,16,28.0 ,21.4,Subway
Luoyang, China,Luoyang Subway,2021,2021,33,43.554 ,0,Subway
Nagoya, Japan,Nagoya Municipal Subway,1957,2011,87,93.3 ,487.4,Subway
New York City, United States,New York City Subway,1904,2017,424,399 ,1311.3,Subway
Philadelphia, United States,SEPTA,1907,1973,72,59.1 ,35.6,Subway
Pyongyang, North Korea,Pyongyang Metro,1973,1987,17,22.5 ,36,Subway
Sapporo, Japan,Sapporo Municipal Subway,1971,1999,46,48.0 ,226.9,Subway
Sendai, Japan,Sendai Subway,1987,2015,29,28.7 ,91.7,Subway
Seoul, South Korea,Seoul Metropolitan Subway,1974,2022,302,372.5 ,2127.2,Subway
Stockholm, Sweden,Stockholm Metro,1950,1994,100,108 ,355,Subway
Tokyo, Japan,Toei Subway,1960,2002,99,109.0 ,1174.9,Subway
Toronto, Canada,Toronto Subway,1954,2017,75,76.5 ,166,Subway
Yerevan, Armenia,Yerevan Metro,1981,1996,10,13.4 ,10.75,Subway
Yokohama, Japan,Yokohama Municipal Subway,1972,2008,40,53.4 ,243.2,Subway
Adana, Turkey,Adana Metro,2009,2010,13,13.9 ,14,Subway
Ahmedabad, India ,Ahmedabad Metro,2019,2022,31,37.86 ,0.4,Subway
Algiers, Algeria ,Algiers Metro,2011,2018,19,18.5 ,45.3,Subway
Almaty, Kazakhstan ,Almaty Metro,2011,2022,11,13.4 ,7,Subway
Amsterdam, Netherlands ,Amsterdam Metro,1977,2018,39,41.2 ,111.3,Subway
Ankara, Turkey,Ankara Metro,1997,2017,54,64.36 ,66.4,Subway
Athens, Greece,Athens Metro,1904,2022,66,91.8 ,259.2,Subway
Baku, Azerbaijan,Baku Metro,1967,2022,27,40.3 ,72.1,Subway
Barcelona, Spain,Barcelona Metro,1924,2021,132,170 ,217.93,Subway
Bengaluru, India,Namma Metro,2011,2021,51,56 ,174.22,Subway
Berlin, Germany,Berlin U-Bahn,1902,2021,175,147.8 ,359,Subway
Bilbao, Spain,Metro Bilbao,1995,2020,42,45.1 ,91.6,Subway
Brasília, Brazil,Brasília Metro,2001,2020,27,42.4 ,42.8,Subway
Brescia, Italy,Brescia Metro,2013,2013,17,13.7 ,18.7,Subway
Brussels, Belgium,Brussels Metro,1976,2009,59,39.9 ,96.3,Subway
Bucharest, Romania ,Bucharest Metro,1979,2022,64,80.1 ,179.2,Subway
Budapest, Hungary ,Budapest Metro,1896,2014,48,38.2 ,211.6,Subway
Buenos Aires, Argentina,Buenos Aires Underground,1913,2019,90,56.7 ,74,Subway
Bursa, Turkey,Bursaray,2002,2014,39,38.9 ,91.3,Subway
Busan, South Korea,Busan Metro,1985,2017,108,139.9 ,361,Subway
