City,State,Land area (sq mi),Land area (km2),Water area (sq mi),Water area (km2),Total area (sq mi),Total area (km2),Population (2020),Density 
Sitka,Alaska,"2,870.10","7,434","1,945.10","5,038","4,815.10","12,471","8,458",0.678213455
Juneau,Alaska,"2,704.00","7,003",550.7,"1,426","3,254.70","8,430","32,255",3.826215896
Wrangell,Alaska,"2,556.00","6,620",920.6,"2,384","3,476.60","9,004","2,127",0.236228343
Anchorage,Alaska,"1,706.80","4,421",239.9,621,"1,946.70","5,042","291,247",57.76418088
Tribune [note 1]*,Kansas,778.2,"2,016",0,0,778.2,"2,016","1,182",0.586309524
Jacksonville,Florida,747.3,"1,935",127.2,329,874.5,"2,265","949,611",419.2543046
Anaconda,Montana,736.7,"1,908",4.7,12,741.4,"1,920","9,421",4.906770833
Butte *,Montana,715.8,"1,854",0.6,1.6,716.3,"1,855","34,494",18.59514825
Houston,Texas,640.4,"1,659",31.2,81,671.7,"1,740","2,304,580",1324.471264
Oklahoma City,Oklahoma,606.2,"1,570",14.3,37,620.5,"1,607","681,054",423.8046049
Phoenix,Arizona,518,"1,342",1.1,2.8,519.1,"1,344","1,608,139",1196.531994
San Antonio,Texas,498.8,"1,292",5.8,15,504.6,"1,307","1,434,625",1097.647284
Nashville *,Tennessee,475.8,"1,232",21.7,56,497.5,"1,289","689,447",534.8696664
Los Angeles,California,469.5,"1,216",32.1,83,501.6,"1,299","3,898,747",3001.344881
Statenville [note 2],Georgia,420.4,"1,089",0.3,0.78,420.7,"1,090","3,697",3.391743119
Suffolk[note 3]**,Virginia,399.2,"1,034",29.7,77,428.9,"1,111","94,324",84.90009001
Buckeye,Arizona,393,"1,018",0.2,0.52,393.2,"1,018","91,502",89.88408644
Indianapolis *,Indiana,361.6,937,6.3,16,367.9,953,"887,642",931.4186779
Fort Worth,Texas,347.3,900,8.3,21,355.5,921,"918,915",997.7361564
Dallas,Texas,339.6,880,43.9,114,383.4,993,"1,304,379",1313.574018
Chesapeake[note 4]**,Virginia,338.5,877,12.5,32,350.9,909,"249,422",274.3916392
San Diego,California,325.9,844,46.5,120,372.4,965,"1,386,932",1437.235233
Louisville *,Kentucky,324.9,841,16.5,43,341.4,884,"633,045",716.1142534
Austin,Texas,319.9,829,6.6,17,326.5,846,"961,855",1136.944444
Kansas City,Missouri,314.7,815,4.1,11,318.8,826,"508,090",615.1210654
Charlotte,North Carolina,308.3,798,2,5.2,310.3,804,"874,579",1087.784826
Augusta *,Georgia,302.3,783,4.2,11,306.5,794,"202,081",254.5100756
New York City,New York,300.5,778,172,445,472.4,"1,224","8,804,190",7192.965686
Memphis,Tennessee,297,769,7.6,20,304.6,789,"633,104",802.4131812
Lexington,Kentucky,283.6,735,1.9,4.9,285.5,739,"322,570",436.4952639
El Paso,Texas,258.4,669,0.8,2.1,259.2,671,"678,815",1011.646796
Macon,Georgia,249.4,646,5.5,14,254.9,660,"157,346",238.4030303
Cusseta,Georgia,248.7,644,2.4,6.2,251.2,651,"9,565",14.69278034
Virginia Beach[note 5]**,Virginia,244.7,634,252.8,655,497.5,"1,289","459,470",356.454616
Tucson,Arizona,241,624,0.3,0.78,241.3,625,"542,629",868.2064
