City,State,Country,Latitude (D),Latitude (C),Longitude (D),Longitude (C)
Algiers,Algiers Province,Algeria,36,50 N,3,0 E
Buenos Aires,NULL,Argentina,34,35 S,58,22 W
Cordoba,NULL,Argentina,31,28 S,64,10 W
Adelaide,NULL,Australia,34,55 S,138,36 E
Brisbane,NULL,Australia,27,29 S,153,8 E
Darwin,NULL,Australia,12,28 S,130,51 E
Melbourne,NULL,Australia,37,47 S,144,58 E
Perth,NULL,Australia,31,57 S,115,52 E
Sydney,NULL,Australia,34,0 S,151,0 E
Vienna,NULL,Austria,48,14 N,16,20 E
Brussels,NULL,Belgium,50,52 N,4,22 E
La Paz,NULL,Bolivia,16,27 S,68,22 W
Belem,NULL,Brazil,1,28 S,48,29 W
Rio de Janeiro,NULL,Brazil,22,57 S,43,12 W
Salvador,NULL,Brazil,12,56 S,38,27 W
Sao Paulo,NULL,Brazil,23,31 S,46,31 W
Sofia,NULL,Bulgaria,42,40 N,23,20 E
Iquique,NULL,Chile,20,10 S,70,7 W
Santiago,NULL,Chile,33,28 S,70,45 W
Beijing,NULL,China,39,55 N,116,25 E
Canton,NULL,China,23,7 N,113,15 E
Chongqing,NULL,China,29,46 N,106,34 E
Hong Kong,NULL,China,22,20 N,114,11 E
Nanjing (Nanking),NULL,China,32,3 N,118,53 E
Shanghai,NULL,China,31,10 N,121,28 E
Bogota,NULL,Colombia,4,32 N,74,15 W
Kinshasa,NULL,Congo,4,18 S,15,17 E
Havana,NULL,Cuba,23,8 N,82,23 W
Prague,NULL,Czech Republic,50,5 N,14,26 E
Copenhagen,NULL,Denmark,55,40 N,12,34 E
Djibouti,NULL,Djibouti,11,30 N,43,3 E
Guayaquil,NULL,Ecuador,2,10 S,79,56 W
Cairo,NULL,Egypt,30,2 N,31,21 E
Birmingham,NULL,England,52,25 N,1,55 W
Bristol,NULL,England,51,28 N,2,35 W
Leeds,NULL,England,53,45 N,1,30 W
Liverpool,NULL,England,53,25 N,3,0 W
London,NULL,England,51,32 N,0,5 W
Manchester,NULL,England,53,30 N,2,15 W
Newcastle-on-Tyne,NULL,England,54,58 N,1,37 W
Plymouth,NULL,England,50,25 N,4,5 W
Helsinki,NULL,Finland,60,10 N,25,0 E
Bordeaux,NULL,France,44,50 N,0,31 W
Lyons,NULL,France,45,45 N,4,50 E
Marseilles,NULL,France,43,20 N,5,20 E
Paris,NULL,France,48,48 N,2,20 E
Cayenne,NULL,French Guiana,4,49 N,52,18 W
Berlin,NULL,Germany,52,30 N,13,25 E
Bremen,NULL,Germany,53,5 N,8,49 E
Frankfurt,NULL,Germany,50,7 N,8,41 E
Hamburg,NULL,Germany,53,33 N,10,2 E
Munich,NULL,Germany,48,8 N,11,35 E
Athens,NULL,Greece,37,58 N,23,43 E
Guatemala City,NULL,Guatemala,14,37 N,90,31 W
Georgetown,NULL,Guyana,6,45 N,58,15 W
Budapest,NULL,Hungary,47,30 N,19,5 E
Reykjavik,NULL,Iceland,64,4 N,21,58 W
Bombay,NULL,India,19,0 N,72,48 E
Calcutta,NULL,India,22,34 N,88,24 E
New Delhi,NULL,India,28,35 N,77,12 E
Jakarta,NULL,Indonesia,6,16 S,106,48 E
Teheran,NULL,Iran,35,45 N,51,45 E
Dublin,NULL,Ireland,53,20 N,6,15 W
Milan,NULL,Italy,45,27 N,9,10 E
Naples,NULL,Italy,40,50 N,14,15 E
Rome,NULL,Italy,41,54 N,12,27 E
Venice,NULL,Italy,45,26 N,12,20 E
Kingston,NULL,Jamaica,17,59 N,76,49 W
Nagasaki,NULL,Japan,32,48 N,129,57 E
Nagoya,NULL,Japan,35,7 N,136,56 E
Osaka,NULL,Japan,34,32 N,135,30 E
Tokyo,NULL,Japan,35,40 N,139,45 E
Nairobi,NULL,Kenya,1,25 S,36,55 E
Tripoli,NULL,Libya,32,57 N,13,12 E
Tananarive,NULL,Madagascar,18,50 S,47,33 E
Kuala Lumpur,NULL,Malaysia,3,8 N,101,42 E
Chihuahua,NULL,Mexico,28,37 N,106,5 W
Mazatlan,NULL,Mexico,23,12 N,106,25 W
Mexico City,NULL,Mexico,19,26 N,99,7 W
Veracruz,NULL,Mexico,19,10 N,96,10 W
Rangoon,NULL,Myanmar,16,50 N,96,0 E
Amsterdam,NULL,Netherlands,52,22 N,4,53 E
Auckland,NULL,New Zealand,36,52 S,174,45 E
Wellington,NULL,New Zealand,41,17 S,174,47 E
Belfast,NULL,Northern Ireland,54,37 N,5,56 W
Hammerfest,NULL,Norway,70,38 N,23,38 E
Oslo,NULL,Norway,59,57 N,10,42 E
Panama City,NULL,Panama,8,58 N,79,32 W
Port Moresby,NULL,Papua New Guinea,9,25 S,147,8 E
Asuncion,NULL,Paraguay,25,15 S,57,40 W
Lima,NULL,Peru,12,0 S,77,2 W
Manila,NULL,Philippines,14,35 N,120,57 E
Warsaw,NULL,Poland,52,14 N,21,0 E
Lisbon,NULL,Portugal,38,44 N,9,9 W
Bucharest,NULL,Romania,44,25 N,26,7 E
Irkutsk,NULL,Russia,52,30 N,104,20 E
Moscow,NULL,Russia,55,45 N,37,36 E
St. Petersburg,NULL,Russia,59,56 N,30,18 E
Vladivostok,NULL,Russia,43,10 N,132,0 E
Mecca,NULL,Saudi Arabia,21,29 N,39,45 E
Aberdeen,Aberdeenshire,Scotland,57,9 N,2,9 W
Edinburgh,Edinburgh,Scotland,55,55 N,3,10 W
Glasgow,Glasgow,Scotland,55,50 N,4,15 W
Dakar,NULL,Senegal,14,40 N,17,28 W
Belgrade,NULL,Serbia,44,52 N,20,32 E
Singapore,NULL,Singapore,1,14 N,103,55 E
Cape Town,NULL,South Africa,33,55 S,18,22 E
Durban,NULL,South Africa,29,53 S,30,53 E
Johannesburg,NULL,South Africa,26,12 S,28,4 E
Barcelona,NULL,Spain,41,23 N,2,9 E
Madrid,NULL,Spain,40,26 N,3,42 W
Paramaribo,NULL,Suriname,5,45 N,55,15 W
Stockholm,NULL,Sweden,59,17 N,18,3 E
Zurich,NULL,Switzerland,47,21 N,8,31 E
Hobart,NULL,Tasmania,42,52 S,147,19 E
Bangkok,NULL,Thailand,13,45 N,100,30 E
Ankara,NULL,Turkey,39,55 N,32,55 E
Odessa,NULL,Ukraine,46,27 N,30,48 E
Montevideo,NULL,Uruguay,34,53 S,56,10 W
Caracas,NULL,Venezuela,10,28 N,67,2 W
Albany, N.Y.,United States,42,40 N,73,45 W
Albuquerque, N.M.,United States,35,5 N,106,39 W
Amarillo, Tex.,United States,35,11 N,101,50 W
Anchorage, Alaska,United States,61,13 N,149,54 W
Atlanta, Ga.,United States,33,45 N,84,23 W
Austin, Tex.,United States,30,16 N,97,44 W
Baker, Ore.,United States,44,47 N,117,50 W
Baltimore, Md.,United States,39,18 N,76,38 W
Bangor, Maine,United States,44,48 N,68,47 W
Birmingham, Ala.,United States,33,30 N,86,50 W
Bismarck, N.D.,United States,46,48 N,100,47 W
Boise, Idaho,United States,43,36 N,116,13 W
Boston, Mass.,United States,42,21 N,71,5 W
Buffalo, N.Y.,Canada,42,55 N,78,50 W
Calgary, Alba.,United States,51,1 N,114,1 W
Carlsbad, N.M.,United States,32,26 N,104,15 W
Charleston, S.C.,United States,32,47 N,79,56 W
Charleston, W. Va.,United States,38,21 N,81,38 W
Charlotte, N.C.,United States,35,14 N,80,50 W
Cheyenne, Wyo.,United States,41,9 N,104,52 W
Chicago, Ill.,United States,41,50 N,87,37 W
Cincinnati, Ohio,United States,39,8 N,84,30 W
Cleveland, Ohio,United States,41,28 N,81,37 W
Columbia, S.C.,United States,34,0 N,81,2 W
Columbus, Ohio,United States,40,0 N,83,1 W
Dallas, Tex.,United States,32,46 N,96,46 W
Denver, Colo.,United States,39,45 N,105,0 W
Des Moines, Iowa,United States,41,35 N,93,37 W
Detroit, Mich.,United States,42,20 N,83,3 W
Dubuque, Iowa,United States,42,31 N,90,40 W
Duluth, Minn.,United States,46,49 N,92,5 W
Eastport, Maine,United States,44,54 N,67,0 W
Edmonton, Alb.,United States,53,34 N,113,28 W
El Centro, Calif.,United States,32,38 N,115,33 W
El Paso, Tex.,United States,31,46 N,106,29 W
Eugene, Ore.,United States,44,3 N,123,5 W
Fargo, N.D.,United States,46,52 N,96,48 W
Flagstaff, Ariz.,United States,35,13 N,111,41 W
Fort Worth, Tex.,United States,32,43 N,97,19 W
Fresno, Calif.,United States,36,44 N,119,48 W
Grand Junction, Colo.,United States,39,5 N,108,33 W
Grand Rapids, Mich.,United States,42,58 N,85,40 W
Havre, Mont.,United States,48,33 N,109,43 W
Helena, Mont.,United States,46,35 N,112,2 W
Honolulu, Hawaii,United States,21,18 N,157,50 W
Hot Springs, Ark.,United States,34,31 N,93,3 W
Houston, Tex.,United States,29,45 N,95,21 W
Idaho Falls, Idaho,United States,43,30 N,112,1 W
Indianapolis, Ind.,United States,39,46 N,86,10 W
Jackson, Miss.,United States,32,20 N,90,12 W
Jacksonville, Fla.,United States,30,22 N,81,40 W
Juneau, Alaska,United States,58,18 N,134,24 W
Kansas City, Mo.,United States,39,6 N,94,35 W
Key West, Fla.,United States,24,33 N,81,48 W
Kingston, Ont.,United States,44,15 N,76,30 W
Klamath Falls, Ore.,United States,42,10 N,121,44 W
Knoxville, Tenn.,United States,35,57 N,83,56 W
Las Vegas, Nev.,United States,36,10 N,115,12 W
Lewiston, Idaho,United States,46,24 N,117,2 W
Lincoln, Neb.,United States,40,50 N,96,40 W
London, Ont.,United States,43,2 N,81,34 W
Long Beach, Calif.,United States,33,46 N,118,11 W
Los Angeles, Calif.,United States,34,3 N,118,15 W
Louisville, Ky.,United States,38,15 N,85,46 W
Manchester, N.H.,United States,43,0 N,71,30 W
Memphis, Tenn.,United States,35,9 N,90,3 W
Miami, Fla.,United States,25,46 N,80,12 W
Milwaukee, Wis.,United States,43,2 N,87,55 W
Minneapolis, Minn.,United States,44,59 N,93,14 W
Mobile, Ala.,United States,30,42 N,88,3 W
Montgomery, Ala.,United States,32,21 N,86,18 W
Montpelier, Vt.,United States,44,15 N,72,32 W
Montreal, Que.,Canada,45,30 N,73,35 W
Moose Jaw, Sask.,Canada,50,37 N,105,31 W
Nashville, Tenn.,United States,36,10 N,86,47 W
Nelson, B.C.,Canada,49,30 N,117,17 W
Newark, N.J.,United States,40,44 N,74,10 W
New Haven, Conn.,United States,41,19 N,72,55 W
New Orleans, La.,United States,29,57 N,90,4 W
New York, N.Y.,United States,40,47 N,73,58 W
Nome, Alaska,United States,64,25 N,165,30 W
Oakland, Calif.,United States,37,48 N,122,16 W
Oklahoma City, Okla.,United States,35,26 N,97,28 W
Omaha, Neb.,United States,41,15 N,95,56 W
Ottawa, Ont.,Canada,45,24 N,75,43 W
Philadelphia, Pa.,United States,39,57 N,75,10 W
Phoenix, Ariz.,United States,33,29 N,112,4 W
Pierre, S.D.,United States,44,22 N,100,21 W
Pittsburgh, Pa.,United States,40,27 N,79,57 W
Portland, Maine,United States,43,40 N,70,15 W
Portland, Ore.,United States,45,31 N,122,41 W
Providence, R.I.,United States,41,50 N,71,24 W
Quebec, Que.,Canada,46,49 N,71,11 W
Raleigh, N.C.,United States,35,46 N,78,39 W
Reno, Nev.,United States,39,30 N,119,49 W
Richfield, Utah,United States,38,46 N,112,5 W
Richmond, Va.,United States,37,33 N,77,29 W
Roanoke, Va.,United States,37,17 N,79,57 W
Sacramento, Calif.,United States,38,35 N,121,30 W
St. John, N.B.,United States,45,18 N,66,10 W
St. Louis, Mo.,United States,38,35 N,90,12 W
Salt Lake City, Utah,United States,40,46 N,111,54 W
San Antonio, Tex.,United States,29,23 N,98,33 W
San Diego, Calif.,United States,32,42 N,117,10 W
San Francisco, Calif.,United States,37,47 N,122,26 W
San Jose, Calif.,United States,37,20 N,121,53 W
San Juan, P.R.,United States,18,30 N,66,10 W
Santa Fe, N.M.,United States,35,41 N,105,57 W
Savannah, Ga.,United States,32,5 N,81,5 W
Seattle, Wash.,United States,47,37 N,122,20 W
Shreveport, La.,United States,32,28 N,93,42 W
Sioux Falls, S.D.,United States,43,33 N,96,44 W
Sitka, Alaska,United States,57,10 N,135,15 W
Spokane, Wash.,United States,47,40 N,117,26 W
